ride_id,ride_date,ride_time,year,month,day,city,customer_id,driver_id,gender,age,pickup_location,drop_location,distance_km,ride_duration_min,cab_type,booking_type,payment_method,base_fare,surge_multiplier,total_fare,driver_rating,customer_rating,ride_status,cancellation_reason,peak_hour
100051,2023-02-21,02:14,2023,February,Tuesday,Mumbai,4853,5450,Male,26,Madhapur,CP,15.4,22,SUV,App,Card,234.8,1.3,305.24,4.0,4.1,Cancelled,Driver unavailable,Yes
100052,2023-09-12,00:36,2023,September,Tuesday,Delhi,4995,4949,Female,26,Wakad,CP,17.5,46,Mini,App,UPI,260.0,1.1,286.0,4.0,4.2,Completed,,No
100053,2023-11-23,20:23,2023,November,Thursday,Delhi,2224,6370,Male,43,Gachibowli,CP,17.9,6,Mini,App,Card,264.8,1.1,291.28,4.3,4.9,Completed,,No
100054,2023-06-01,00:02,2023,June,Thursday,Mumbai,3099,6107,Male,21,CP,Hinjewadi,13.2,51,SUV,App,Card,208.4,1.2,250.08,4.4,4.8,Cancelled,Driver unavailable,Yes
100055,2024-03-09,18:44,2024,March,Saturday,Bangalore,3283,4650,Male,38,Whitefield,Gachibowli,17.4,13,Mini,App,UPI,258.8,1.0,258.8,4.8,4.2,Completed,,No
100056,2024-10-07,17:55,2024,October,Monday,Mumbai,2216,3227,Female,39,CP,Indiranagar,13.4,68,Sedan,App,Cash,210.8,1.2,252.96,4.5,4.0,Completed,,Yes
100057,2025-01-09,03:48,2025,January,Thursday,Hyderabad,2245,5818,Male,42,Hinjewadi,Wakad,19.1,56,SUV,App,Cash,279.2,1.2,335.04,4.6,4.4,Completed,,Yes
100058,2024-09-11,00:30,2024,September,Wednesday,Hyderabad,4955,6404,Female,34,Rohini,Hinjewadi,9.7,51,Mini,App,Cash,166.4,1.2,199.68,4.7,4.9,Completed,,Yes
100059,2025-03-18,13:35,2025,March,Tuesday,Hyderabad,2140,4566,Female,38,Indiranagar,Andheri,14.9,28,Mini,App,Cash,228.8,1.2,274.56,4.1,4.7,Completed,,Yes
100060,2024-01-25,19:08,2024,January,Thursday,Mumbai,4434,4133,Male,32,Wakad,Rohini,17.3,39,SUV,App,Cash,257.6,1.3,334.88,4.9,4.8,Completed,,Yes
100061,2023-03-25,04:55,2023,March,Saturday,Bangalore,3250,2303,Male,48,Andheri,Wakad,10.9,35,SUV,App,Cash,180.8,1.0,180.8,4.4,4.7,Completed,,No
100062,2025-11-20,18:37,2025,November,Thursday,Delhi,4018,6067,Female,52,Rohini,Bandra,14.5,53,Sedan,App,Cash,224.0,1.0,224.0,3.9,4.2,Completed,,No
100063,2025-09-05,22:47,2025,September,Friday,Pune,1912,6798,Female,47,Andheri,Gachibowli,5.1,63,SUV,App,UPI,111.2,1.1,122.32,4.1,4.8,Completed,,No
100064,2023-04-10,03:06,2023,April,Monday,Mumbai,4524,4318,Female,41,Bandra,Rohini,14.4,23,SUV,App,UPI,222.8,1.1,245.08,3.7,4.2,Completed,,No
100065,2023-01-19,20:59,2023,January,Thursday,Mumbai,4044,3417,Male,29,Whitefield,Indiranagar,13.8,48,SUV,App,Card,215.6,1.5,323.4,4.4,3.9,Completed,,Yes
100066,2025-07-30,16:37,2025,July,Wednesday,Bangalore,3013,6252,Female,26,Bandra,Gachibowli,20.8,62,SUV,App,Card,299.6,1.1,329.56,3.6,3.9,Completed,,No
100067,2024-05-17,18:51,2024,May,Friday,Hyderabad,1555,6354,Female,42,Indiranagar,Gachibowli,12.3,41,SUV,App,Card,197.6,1.1,217.36,4.7,3.9,Cancelled,Driver unavailable,No
100068,2024-01-14,16:50,2024,January,Sunday,Mumbai,4700,3015,Male,59,CP,Gachibowli,13.7,15,SUV,App,UPI,214.4,1.1,235.84,4.5,4.3,Completed,,No
100069,2024-01-05,00:43,2024,January,Friday,Hyderabad,2221,5613,Male,41,CP,Whitefield,14.0,64,Sedan,App,Card,218.0,1.0,218.0,4.9,4.7,Completed,,No
100070,2024-04-05,08:41,2024,April,Friday,Pune,2097,2805,Female,18,CP,Hinjewadi,18.6,23,Mini,App,Cash,273.2,1.0,273.2,5.0,3.7,Completed,,No
100071,2025-10-28,07:10,2025,October,Tuesday,Hyderabad,1106,5005,Male,52,Wakad,CP,14.5,10,SUV,App,Card,224.0,1.3,291.2,3.7,4.3,Completed,,Yes
100072,2024-08-27,18:32,2024,August,Tuesday,Bangalore,2910,3782,Female,60,Gachibowli,Bandra,5.0,35,SUV,App,Card,110.0,1.0,110.0,4.2,4.2,Cancelled,Customer no-show,No
100073,2025-07-02,02:36,2025,July,Wednesday,Mumbai,2714,2236,Female,34,Hinjewadi,Madhapur,18.0,39,Mini,App,Card,266.0,1.3,345.8,3.9,3.8,Completed,,Yes
100074,2024-06-19,04:22,2024,June,Wednesday,Bangalore,2633,3648,Male,28,Indiranagar,Bandra,24.9,37,SUV,App,UPI,348.8,1.0,348.8,3.5,4.8,Completed,,No
100075,2025-06-25,11:12,2025,June,Wednesday,Hyderabad,3095,5850,Female,34,Madhapur,CP,13.8,22,Sedan,App,UPI,215.6,1.5,323.4,4.0,3.9,Completed,,Yes
100076,2025-10-14,23:53,2025,October,Tuesday,Pune,3467,5366,Male,26,Hinjewadi,Madhapur,22.5,63,SUV,App,Cash,320.0,1.3,416.0,4.6,3.5,Completed,,Yes
100077,2024-11-08,00:38,2024,November,Friday,Bangalore,2044,6057,Female,55,CP,Whitefield,12.9,67,SUV,App,Card,204.8,1.1,225.28,4.7,4.9,Completed,,No
100078,2024-04-22,09:45,2024,April,Monday,Bangalore,3283,5949,Female,25,Rohini,Gachibowli,18.3,53,Sedan,App,Card,269.6,1.3,350.48,4.7,4.4,Cancelled,Customer no-show,Yes
100079,2023-11-22,11:56,2023,November,Wednesday,Bangalore,1178,4704,Female,43,Bandra,Hinjewadi,12.6,55,Mini,App,UPI,201.2,1.1,221.32,3.6,3.7,Completed,,No
100080,2025-03-05,22:57,2025,March,Wednesday,Pune,1205,4372,Male,42,CP,Madhapur,16.7,65,Mini,App,Cash,250.4,1.0,250.4,4.5,3.5,Completed,,No
100081,2024-06-05,00:12,2024,June,Wednesday,Hyderabad,2673,2383,Male,49,Indiranagar,Bandra,6.5,39,Sedan,App,Card,128.0,1.5,192.0,4.7,4.5,Completed,,Yes
100082,2025-03-31,21:05,2025,March,Monday,Bangalore,2320,2974,Male,60,Rohini,Whitefield,12.4,53,Sedan,App,Cash,198.8,1.1,218.68,3.6,4.6,Completed,,No
100083,2025-12-10,02:38,2025,December,Wednesday,Pune,1348,4961,Male,26,Wakad,Andheri,7.9,7,Mini,App,Cash,144.8,1.0,144.8,4.5,3.7,Completed,,No
100084,2025-05-04,00:06,2025,May,Sunday,Hyderabad,1195,5748,Male,40,Madhapur,Andheri,3.8,24,Mini,App,Cash,95.6,1.2,114.72,4.4,4.4,Cancelled,Driver unavailable,Yes
100085,2025-07-29,23:46,2025,July,Tuesday,Pune,4691,6480,Female,18,CP,Whitefield,6.5,59,SUV,App,Card,128.0,1.5,192.0,4.1,4.1,Completed,,Yes
100086,2024-09-12,11:22,2024,September,Thursday,Mumbai,1357,6874,Male,28,Madhapur,CP,24.7,66,Sedan,App,Cash,346.4,1.3,450.32,4.8,3.9,Completed,,Yes
100087,2025-12-11,00:39,2025,December,Thursday,Mumbai,4016,5153,Female,39,Madhapur,CP,22.0,6,Mini,App,Cash,314.0,1.3,408.2,4.1,3.6,Cancelled,Driver unavailable,Yes
100088,2024-01-26,07:02,2024,January,Friday,Pune,3149,4988,Male,60,Gachibowli,Hinjewadi,8.2,8,Sedan,App,UPI,148.4,1.2,178.08,4.1,4.1,Completed,,Yes
100089,2024-05-03,10:01,2024,May,Friday,Hyderabad,1151,4946,Female,23,Hinjewadi,Bandra,10.1,20,SUV,App,Cash,171.2,1.5,256.8,3.6,3.9,Cancelled,Customer no-show,Yes
100090,2023-01-19,21:37,2023,January,Thursday,Hyderabad,2104,5010,Male,53,Indiranagar,CP,15.9,54,Mini,App,Card,240.8,1.3,313.04,4.2,4.6,Completed,,Yes
100091,2025-12-10,16:38,2025,December,Wednesday,Delhi,1346,5512,Male,27,CP,Indiranagar,16.3,24,Sedan,App,Card,245.6,1.2,294.72,4.5,4.1,Completed,,Yes
100092,2024-06-24,07:25,2024,June,Monday,Pune,3137,4568,Male,49,Andheri,Wakad,16.2,51,Mini,App,Cash,244.4,1.2,293.28,3.6,4.1,Completed,,Yes
100093,2023-10-13,10:18,2023,October,Friday,Mumbai,4668,3331,Male,53,Rohini,Madhapur,20.3,13,Sedan,App,Card,293.6,1.5,440.4,4.6,3.5,Completed,,Yes
100094,2025-04-04,09:53,2025,April,Friday,Mumbai,3582,4646,Female,35,Bandra,Bandra,10.9,18,SUV,App,Card,180.8,1.5,271.2,4.5,4.1,Completed,,Yes
100095,2024-06-06,18:40,2024,June,Thursday,Delhi,3229,3082,Female,50,Madhapur,Madhapur,24.7,14,Mini,App,UPI,346.4,1.3,450.32,4.4,3.6,Cancelled,Customer no-show,Yes
100096,2025-03-13,06:59,2025,March,Thursday,Delhi,3420,4217,Male,26,Rohini,Bandra,10.0,49,Sedan,App,Cash,170.0,1.2,204.0,3.6,4.5,Cancelled,Driver unavailable,Yes
100097,2023-08-06,21:07,2023,August,Sunday,Delhi,4846,3197,Male,42,Hinjewadi,Gachibowli,9.8,15,Mini,App,UPI,167.6,1.1,184.36,4.6,4.1,Completed,,No
100098,2023-11-17,08:01,2023,November,Friday,Pune,1036,4253,Female,43,Andheri,Rohini,21.1,15,Mini,App,Cash,303.2,1.1,333.52,3.9,4.0,Completed,,No
100099,2024-12-05,07:51,2024,December,Thursday,Pune,4249,6464,Male,44,Whitefield,Wakad,3.7,45,Sedan,App,Card,94.4,1.5,141.6,3.6,3.5,Cancelled,App issue,Yes
100100,2025-04-27,01:27,2025,April,Sunday,Hyderabad,4088,4838,Male,53,Indiranagar,Bandra,14.3,21,Mini,App,UPI,221.6,1.3,288.08,3.8,5.0,Completed,,Yes
100101,2024-06-19,08:06,2024,June,Wednesday,Mumbai,4212,2128,Male,45,Hinjewadi,Madhapur,14.4,16,SUV,App,Card,222.8,1.2,267.36,4.4,4.5,Cancelled,Customer no-show,Yes
100102,2023-12-30,13:29,2023,December,Saturday,Delhi,2893,6133,Female,52,Indiranagar,Wakad,8.1,59,Sedan,App,Card,147.2,1.3,191.36,4.1,4.4,Completed,,Yes
100103,2025-09-08,22:30,2025,September,Monday,Pune,1187,6102,Male,21,Rohini,Rohini,16.8,58,Mini,App,Card,251.6,1.5,377.4,4.0,3.5,Completed,,Yes
100104,2024-03-10,02:56,2024,March,Sunday,Bangalore,4830,6297,Male,20,Bandra,Wakad,13.9,23,SUV,App,Cash,216.8,1.0,216.8,4.0,4.1,Completed,,No
100105,2023-06-23,21:27,2023,June,Friday,Bangalore,1978,5224,Female,32,Andheri,Bandra,18.3,64,Mini,App,UPI,269.6,1.5,404.4,4.4,4.1,Completed,,Yes
100106,2024-05-03,14:47,2024,May,Friday,Hyderabad,3003,5889,Male,32,Indiranagar,Whitefield,4.7,32,Mini,App,UPI,106.4,1.3,138.32,4.9,3.6,Completed,,Yes
100107,2023-04-12,09:59,2023,April,Wednesday,Delhi,4316,5922,Female,20,Indiranagar,Andheri,18.6,33,Mini,App,Cash,273.2,1.1,300.52,3.7,4.5,Completed,,No
100108,2025-06-01,14:06,2025,June,Sunday,Pune,4636,5727,Female,48,Whitefield,Hinjewadi,17.3,45,Mini,App,Card,257.6,1.1,283.36,4.1,4.7,Completed,,No
100109,2023-06-13,00:32,2023,June,Tuesday,Bangalore,2604,2753,Female,51,Bandra,Bandra,6.5,9,Sedan,App,Card,128.0,1.2,153.6,4.1,3.7,Completed,,Yes
100110,2023-06-06,02:12,2023,June,Tuesday,Delhi,4139,4272,Male,54,Wakad,Wakad,4.4,69,Sedan,App,UPI,102.8,1.0,102.8,4.8,4.3,Completed,,No
100111,2024-08-03,15:11,2024,August,Saturday,Hyderabad,4733,5139,Female,60,CP,Gachibowli,17.9,30,Sedan,App,Card,264.8,1.5,397.2,4.4,4.5,Completed,,Yes
100112,2023-09-12,21:47,2023,September,Tuesday,Delhi,1273,5095,Male,36,Whitefield,Bandra,14.4,55,SUV,App,Cash,222.8,1.1,245.08,4.1,3.7,Completed,,No
100113,2025-03-23,19:21,2025,March,Sunday,Hyderabad,3467,3649,Male,32,Indiranagar,Madhapur,14.8,11,Mini,App,Cash,227.6,1.3,295.88,4.4,4.3,Completed,,Yes
100114,2024-10-05,19:56,2024,October,Saturday,Delhi,4008,3681,Male,40,Rohini,Rohini,21.8,38,Mini,App,Cash,311.6,1.1,342.76,4.7,3.6,Cancelled,Customer no-show,No
100115,2024-04-29,09:29,2024,April,Monday,Bangalore,2219,3613,Male,29,Rohini,CP,3.0,22,Mini,App,Cash,86.0,1.5,129.0,4.2,4.9,Completed,,Yes
100116,2025-08-11,16:43,2025,August,Monday,Hyderabad,3340,2871,Male,42,Andheri,Hinjewadi,21.3,10,SUV,App,UPI,305.6,1.0,305.6,4.1,3.6,Cancelled,Customer no-show,No
100117,2023-02-07,22:27,2023,February,Tuesday,Mumbai,3733,5930,Male,23,Bandra,Indiranagar,3.5,69,Sedan,App,Card,92.0,1.1,101.2,3.9,4.8,Completed,,No
100118,2025-01-31,23:01,2025,January,Friday,Bangalore,3160,3434,Female,47,Indiranagar,Gachibowli,18.5,60,Mini,App,UPI,272.0,1.2,326.4,3.9,4.6,Completed,,Yes
100119,2023-01-30,15:22,2023,January,Monday,Hyderabad,4463,3512,Male,18,Bandra,Indiranagar,18.1,49,SUV,App,UPI,267.2,1.0,267.2,3.9,4.1,Completed,,No
100120,2024-01-28,02:53,2024,January,Sunday,Pune,4705,4029,Female,44,Indiranagar,Wakad,4.9,33,Sedan,App,Card,108.8,1.3,141.44,4.9,4.0,Completed,,Yes
100121,2024-11-19,11:07,2024,November,Tuesday,Hyderabad,2453,5758,Male,60,Whitefield,Indiranagar,14.5,18,SUV,App,Card,224.0,1.1,246.4,3.5,5.0,Cancelled,App issue,No
100122,2025-06-20,06:02,2025,June,Friday,Pune,3835,5554,Female,53,Madhapur,Whitefield,14.7,22,SUV,App,Card,226.4,1.3,294.32,4.3,4.5,Completed,,Yes
100123,2025-10-09,21:37,2025,October,Thursday,Bangalore,1189,2015,Female,52,Indiranagar,Indiranagar,9.0,33,Mini,App,UPI,158.0,1.1,173.8,3.7,3.9,Completed,,No
100124,2025-08-04,13:45,2025,August,Monday,Mumbai,2652,6767,Male,30,Gachibowli,Madhapur,17.0,65,SUV,App,Cash,254.0,1.0,254.0,4.1,4.8,Completed,,No
100125,2023-02-09,09:17,2023,February,Thursday,Hyderabad,2657,6705,Female,25,CP,Wakad,16.8,27,Sedan,App,UPI,251.6,1.1,276.76,4.2,4.9,Completed,,No
100126,2024-07-26,06:08,2024,July,Friday,Bangalore,1513,4377,Male,32,Andheri,CP,21.3,60,SUV,App,Card,305.6,1.1,336.16,4.4,3.8,Completed,,No
100127,2023-04-11,19:04,2023,April,Tuesday,Hyderabad,2566,2295,Male,23,CP,Rohini,2.8,6,Sedan,App,Card,83.6,1.1,91.96,4.5,3.6,Cancelled,Driver unavailable,No
100128,2024-08-05,14:46,2024,August,Monday,Mumbai,2040,2347,Female,51,Hinjewadi,Whitefield,7.6,26,SUV,App,Card,141.2,1.3,183.56,4.4,3.9,Completed,,Yes
100129,2023-12-26,07:14,2023,December,Tuesday,Delhi,4562,4079,Male,33,Indiranagar,Whitefield,12.2,29,Mini,App,Card,196.4,1.5,294.6,4.0,3.9,Completed,,Yes
100130,2024-04-09,17:25,2024,April,Tuesday,Bangalore,1466,5023,Female,53,Wakad,Indiranagar,20.7,41,Sedan,App,Card,298.4,1.1,328.24,4.1,3.6,Completed,,No
100131,2025-06-19,03:47,2025,June,Thursday,Bangalore,1669,4565,Male,49,Madhapur,Madhapur,3.6,8,Mini,App,Card,93.2,1.5,139.8,4.9,4.1,Cancelled,Customer no-show,Yes
100132,2023-11-08,12:17,2023,November,Wednesday,Hyderabad,3132,6751,Female,58,Wakad,CP,11.8,64,SUV,App,UPI,191.6,1.0,191.6,4.9,4.2,Completed,,No
100133,2023-07-12,04:32,2023,July,Wednesday,Delhi,3435,6693,Male,44,Bandra,Andheri,22.8,69,Mini,App,Cash,323.6,1.0,323.6,4.1,5.0,Cancelled,Driver unavailable,No
100134,2025-11-08,06:29,2025,November,Saturday,Bangalore,1824,2101,Female,54,Gachibowli,CP,16.7,69,Mini,App,Card,250.4,1.1,275.44,4.9,3.9,Completed,,No
100135,2023-12-02,22:19,2023,December,Saturday,Delhi,4349,6906,Male,45,Hinjewadi,Indiranagar,15.4,48,SUV,App,Cash,234.8,1.0,234.8,4.8,4.2,Completed,,No
100136,2024-10-15,22:13,2024,October,Tuesday,Mumbai,3873,6110,Male,48,Whitefield,Rohini,12.7,55,SUV,App,Cash,202.4,1.1,222.64,3.5,4.4,Completed,,No
100137,2024-08-05,05:51,2024,August,Monday,Bangalore,3052,5280,Female,32,Bandra,Bandra,6.6,46,Sedan,App,Card,129.2,1.3,167.96,4.5,5.0,Completed,,Yes
100138,2024-03-14,20:30,2024,March,Thursday,Hyderabad,3577,2867,Female,42,Wakad,Gachibowli,21.1,17,SUV,App,UPI,303.2,1.1,333.52,4.1,4.1,Completed,,No
100139,2024-10-10,05:40,2024,October,Thursday,Bangalore,4968,5539,Female,55,Andheri,Madhapur,6.7,25,SUV,App,Card,130.4,1.2,156.48,4.1,4.1,Completed,,Yes
